City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Grand Gaube,MU,-20.0064,57.6608,80.38,78,91,4.0,overcast clouds
80,Pevek,RU,69.7008,170.3133,-23.94,99,23,1.16,few clouds
81,Kigorobya,UG,1.6162,31.3089,67.6,40,80,3.36,broken clouds
82,Berezovyy,RU,51.6667,135.7,10.94,81,100,2.35,overcast clouds
83,Dikson,RU,73.5069,80.5464,-12.53,97,100,16.62,overcast clouds
84,Provideniya,RU,64.3833,-173.3,-0.29,65,0,8.95,clear sky
85,Talnakh,RU,69.4865,88.3972,-27.45,97,56,1.52,broken clouds
86,Saskylakh,RU,71.9167,114.0833,-26.64,100,92,4.34,overcast clouds
87,Severo-Kurilsk,RU,50.6789,156.125,31.41,81,100,9.33,overcast clouds
88,Atuona,PF,-9.8,-139.0333,78.76,78,32,18.05,scattered clouds
89,Kodinsk,RU,58.6881,99.1844,15.21,93,100,2.3,light snow
90,Port Alfred,ZA,-33.5906,26.891,73.33,77,69,3.91,broken clouds
91,Kavaratti,IN,10.5669,72.642,77.86,67,12,8.08,few clouds
92,Ucluelet,CA,48.9329,-125.5528,45.09,90,83,1.01,broken clouds
93,Vaini,TO,-21.2,-175.2,75.36,100,100,11.5,light rain
94,Yellowknife,CA,62.456,-114.3525,-4.72,90,0,0.0,clear sky
95,Flinders,AU,-34.5833,150.8552,73.8,70,45,10.0,scattered clouds
96,Kaeo,NZ,-35.1,173.7833,77.32,96,100,6.26,overcast clouds
97,Ambulu,ID,-8.345,113.6058,86.85,67,35,3.56,scattered clouds
98,Georgetown,MY,5.4112,100.3354,86.9,75,20,3.0,light rain
99,Yumen,CN,40.2833,97.2,17.69,59,100,10.38,overcast clouds
100,Mataura,NZ,-46.1927,168.8643,60.48,38,6,4.63,clear sky
101,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,3.44,clear sky
102,Airai,TL,-8.9266,125.4092,71.83,74,57,2.55,broken clouds
103,Manicore,BR,-5.8092,-61.3003,72.73,99,98,0.36,moderate rain
104,Faanui,PF,-16.4833,-151.75,81.3,75,90,20.36,overcast clouds
105,Castro,BR,-24.7911,-50.0119,60.96,86,8,1.79,clear sky
106,Madang,PG,-5.2246,145.7966,87.64,66,92,9.93,overcast clouds
107,Waipawa,NZ,-41.4122,175.5153,59.94,91,100,9.53,overcast clouds
108,Hobyo,SO,5.3505,48.5268,76.66,69,97,18.88,overcast clouds
109,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,21,1.01,few clouds
110,Nacala,MZ,-14.5428,40.6728,78.71,77,84,2.71,broken clouds
111,Saint George,US,37.1041,-113.5841,50.59,28,0,19.57,clear sky
112,Gubkinskiy,RU,64.434,76.5026,-22.02,100,100,2.95,overcast clouds
113,Karratha,AU,-20.7377,116.8463,91.33,57,79,14.34,broken clouds
114,Ust-Nera,RU,64.5667,143.2,-17.23,86,21,1.9,few clouds
115,Te Anau,NZ,-45.4167,167.7167,71.38,41,23,2.33,few clouds
